store_id,uptime_last_hour,uptime_last_day,update_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
5014360692528129219,60.00,24.00,168.00,0.00,0.00,0.00
8363653675130006444,60.00,24.00,160.00,0.00,0.00,8.00
7469108739089752722,60.00,24.00,168.00,0.00,0.00,0.00
7828565466095434540,0.00,0.00,0.00,60.00,24.00,168.00
1288576128502837923,60.00,17.90,92.34,0.00,6.10,75.66
494584981462594241,60.00,9.99,66.58,0.00,14.01,101.42
924494512866798795,60.00,24.00,168.00,0.00,0.00,0.00
1009333266625513049,0.00,0.00,0.00,60.00,24.00,168.00
4115554697603818376,0.00,0.00,76.90,60.00,24.00,91.10
3310671370097249907,60.00,24.00,168.00,0.00,0.00,0.00
482405053040516887,60.00,24.00,168.00,0.00,0.00,0.00
6269139879097140365,60.00,24.00,168.00,0.00,0.00,0.00
2739506591976043860,60.00,13.00,128.90,0.00,11.00,39.10
4306062162897111672,60.00,24.00,166.02,0.00,0.00,1.98
8245825950638749372,60.00,15.00,139.03,0.00,9.00,28.97
4054909995682804339,60.00,24.00,168.00,0.00,0.00,0.00
2629184682400455388,0.00,0.00,0.00,60.00,24.00,168.00
752281089013846258,0.00,0.00,168.00,0.00,0.00,0.00
1803103253870975098,60.00,24.00,168.00,0.00,0.00,0.00
1298580698756743295,60.00,24.00,168.00,0.00,0.00,0.00
8008907219319216554,60.00,17.88,92.60,0.00,6.12,75.40
1694074305867984076,60.00,24.00,168.00,0.00,0.00,0.00
3258891942704923227,60.00,24.00,168.00,0.00,0.00,0.00
2960297822790286171,0.00,0.00,0.00,60.00,24.00,168.00
4771960929946904618,60.00,24.00,168.00,0.00,0.00,0.00
306275589933283277,0.00,0.00,27.21,60.00,24.00,140.79
3599251204194727910,60.00,24.00,168.00,0.00,0.00,0.00
3761065392460649801,50.70,13.91,112.00,9.30,10.09,56.00
3245433597727204948,59.65,7.12,57.53,0.35,16.88,110.47
3942136022551773279,60.00,24.00,168.00,0.00,0.00,0.00
7911029705250836944,60.00,24.00,168.00,0.00,0.00,0.00
4392262532304212457,60.00,24.00,168.00,0.00,0.00,0.00
7910873620393430408,60.00,24.00,124.99,0.00,0.00,43.01
6801672350951151970,0.00,0.00,0.00,60.00,24.00,168.00
5401719649147588482,60.00,24.00,168.00,0.00,0.00,0.00
4625110589066658924,0.00,0.00,0.00,60.00,24.00,168.00
1639892478985907487,0.00,0.00,0.00,60.00,24.00,168.00
8545446433867384261,60.00,24.00,168.00,0.00,0.00,0.00
1402891136913453677,0.00,0.00,0.00,60.00,24.00,168.00
5122159089165898554,60.00,23.00,165.34,0.00,1.00,2.66
4840031188784944463,60.00,24.00,168.00,0.00,0.00,0.00
2739564275596596870,60.00,24.00,168.00,0.00,0.00,0.00
8291100649115488145,0.00,0.00,0.00,60.00,24.00,168.00
4438150554369162705,0.00,0.00,0.00,60.00,24.00,168.00
452699122084283456,60.00,24.00,168.00,0.00,0.00,0.00
9155193330186516304,60.00,24.00,168.00,0.00,0.00,0.00
7509740124230812327,60.00,24.00,168.00,0.00,0.00,0.00
1451852806427843383,60.00,24.00,168.00,0.00,0.00,0.00
801297804360245006,60.00,24.00,168.00,0.00,0.00,0.00
8295885107976164734,0.00,0.00,0.00,60.00,24.00,168.00
7153310085777269315,60.00,24.00,168.00,0.00,0.00,0.00
2916254961096513651,60.00,14.00,132.10,0.00,10.00,35.90
3483888976569216513,60.00,24.00,168.00,0.00,0.00,0.00
7575377953579535994,60.00,24.00,168.00,0.00,0.00,0.00
6874021236378547801,60.00,24.00,168.00,0.00,0.00,0.00
3181898990960972439,60.00,16.00,143.66,0.00,8.00,24.34
8376405201419084298,60.00,24.00,168.00,0.00,0.00,0.00
3294191632483777641,60.00,24.00,168.00,0.00,0.00,0.00
6866999929605414254,60.00,24.00,168.00,0.00,0.00,0.00
6271041797853253252,60.00,24.00,168.00,0.00,0.00,0.00
1760881616877597468,60.00,24.00,168.00,0.00,0.00,0.00
